genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_domain,neighbors
TSPAN3,0.9973404255319149,0.8956521739130435,1.1135354265647592,2.1335289478302,1.3255479335784912,2.2433741092681885,7.180281891071735e-07,1,[8]
SLC1A6,0.8776595744680851,0.44782608695652176,1.9598223507539763,1.3079372644424438,0.43466025590896606,2.3947455883026123,1.085451696906287e-06,1,[8]
PLA2G7,0.9654255319148937,0.808695652173913,1.1938057652711052,1.8220945596694946,0.9730282425880432,2.337463617324829,1.324420379962446e-06,1,[8]
TRPC3,0.8218085106382979,0.33043478260869563,2.487052071668533,1.057486653327942,0.28607824444770813,2.1628103256225586,3.758118703692309e-06,1,[8]
SFXN5,0.9202127659574468,0.591304347826087,1.5562421777221527,1.2637425661087036,0.5664939284324646,2.0082197189331055,3.7655258617680775e-06,1,[8]
GRIA3,0.848404255319149,0.40869565217391307,2.075882752376641,1.0695351362228394,0.34822380542755127,2.057129144668579,3.8414516456577476e-06,1,[8]
ITPKA,0.8191489361702128,0.3695652173913043,2.216520650813517,1.1456457376480103,0.32571911811828613,2.2703332901000977,4.608306704562472e-06,1,[8]
GAD2,0.8563829787234043,0.4434782608695652,1.9310596579057155,1.0588232278823853,0.3701663017272949,1.991039752960205,6.237404803487197e-06,1,[8]
LUZP2,0.8696808510638298,0.4652173913043478,1.8694074368661762,1.2210105657577515,0.4254070818424225,2.21577787399292,8.138158819245577e-06,1,[8]
MTSS1,0.9069148936170213,0.5130434782608696,1.767715470609448,1.3064947128295898,0.5008783340454102,2.2380757331848145,8.194725353925315e-06,1,[8]
SPOCK3,0.800531914893617,0.3391304347826087,2.360542825968358,0.9664233326911926,0.2802823781967163,1.9860365390777588,8.4621534893873e-06,1,[8]
CHN1,0.8696808510638298,0.49130434782608695,1.7701468649971757,1.2211945056915283,0.44655197858810425,2.169816255569458,9.413330249661271e-06,1,[8]
SERPINI1,0.9042553191489362,0.5478260869565217,1.6506247889226615,1.2089707851409912,0.5232781171798706,1.985146403312683,9.881633726863406e-06,1,[8]
ABAT,0.9601063829787234,0.7043478260869566,1.363114000525348,1.4958804845809937,0.7799005508422852,2.0461909770965576,1.0037776634882177e-05,1,[8]
PAQR8,0.9468085106382979,0.6782608695652174,1.3959356246590289,1.3654823303222656,0.6997576355934143,1.9459002017974854,1.2200251217471252e-05,1,[8]
KCTD12,0.8138297872340425,0.391304347826087,2.079787234042553,1.1247578859329224,0.34150686860084534,2.1885759830474854,1.2684339565865488e-05,1,[8]
LAMP1,0.9946808510638298,0.9043478260869565,1.0998874795417348,1.9827687740325928,1.2828222513198853,2.0136451721191406,1.4916456961910357e-05,1,[8]
LHX1OS,0.9813829787234043,0.7608695652173914,1.2898176291793313,1.6965655088424683,0.8925811052322388,2.2344260215759277,1.7431858816497037e-05,1,[8]
KCNJ10,0.875,0.4652173913043478,1.8808411214953271,1.1579418182373047,0.4492359459400177,2.0313608646392822,2.2571794107411018e-05,1,[8]
GRM1,0.8696808510638298,0.5260869565217391,1.6531123615262882,1.2110249996185303,0.47986552119255066,2.0774879455566406,2.3865114129804145e-05,1,[8]
